customer_id,age,gender,region,sim_type,package,monthly_recharge,call_minutes,data_usage_gb,tenure_months,churn
GP00037,64,Male,Rangpur,Postpaid,Bondhu,244.0,347.0,4.94,54,No
GP00038,68,Male,Sylhet,Postpaid,Ekota,197.0,323.0,3.92,17,No
GP00039,61,Male,Khulna,Prepaid,Nishchinto,249.0,285.0,6.61,45,No
GP00040,69,Male,Chittagong,Postpaid,Djuice,400.0,165.0,2.57,25,No
GP00041,20,Female,Barisal,Prepaid,Bondhu,419.0,351.0,3.08,58,No
GP00042,54,Female,Sylhet,Postpaid,Priyo Unlimited,527.0,171.0,4.58,3,No
GP00043,68,Female,Barisal,Prepaid,Djuice,74.0,328.0,4.73,12,No
GP00044,24,Male,Chittagong,Prepaid,Ekota,237.0,140.0,3.65,27,No
GP00045,38,Female,Chittagong,Prepaid,MyPlan,484.0,165.0,0.0,17,No
GP00046,26,Male,Barisal,Prepaid,Ekota,50.0,279.0,0.0,54,No
GP00047,56,Male,Sylhet,Postpaid,MyPlan,124.0,308.0,2.23,22,Yes
GP00048,35,Male,Barisal,Prepaid,Ekota,208.0,272.0,3.04,39,No
GP00049,21,Male,Barisal,Prepaid,Bondhu,607.0,197.0,0.0,39,No
GP00050,42,Male,Dhaka,Prepaid,Bondhu,154.0,361.0,2.94,58,No
GP00051,31,Female,Sylhet,Prepaid,Priyo Unlimited,463.0,264.0,4.3,43,No
GP00052,67,Female,Mymensingh,Prepaid,Djuice,296.0,269.0,2.88,48,No
GP00053,26,Male,Mymensingh,Prepaid,Ekota,128.0,234.0,3.59,36,Yes
GP00054,43,Female,Dhaka,Postpaid,Ekota,720.0,178.0,4.18,16,No
GP00055,19,Male,Khulna,Prepaid,Djuice,329.0,363.0,0.0,37,No
GP00056,37,Male,Rangpur,Prepaid,Nishchinto,356.0,186.0,4.31,51,No
GP00057,45,Male,Mymensingh,Postpaid,Priyo Unlimited,380.0,420.0,1.53,54,No
GP00058,64,Female,Barisal,Prepaid,Ekota,369.0,168.0,2.52,29,No
GP00059,24,Male,Khulna,Prepaid,Priyo Unlimited,623.0,282.0,1.68,14,No
GP00060,61,Male,Mymensingh,Prepaid,Ekota,568.0,257.0,5.15,7,No
GP00061,25,Female,Sylhet,Postpaid,Ekota,160.0,239.0,0.66,41,Yes
GP00062,64,Female,Barisal,Prepaid,Nishchinto,603.0,318.0,5.76,57,No
GP00063,52,Female,Rangpur,Postpaid,Bondhu,195.0,329.0,7.78,28,No
GP00064,31,Male,Khulna,Postpaid,Priyo Unlimited,348.0,304.0,0.0,13,No
GP00065,34,Male,Mymensingh,Prepaid,Djuice,82.0,144.0,1.83,16,Yes
GP00066,53,Female,Mymensingh,Prepaid,Priyo Unlimited,455.0,133.0,4.22,21,No
GP00067,67,Male,Rajshahi,Prepaid,Nishchinto,254.0,127.0,1.01,4,No
GP00068,57,Female,Mymensingh,Prepaid,MyPlan,128.0,226.0,2.46,39,No
GP00069,21,Female,Chittagong,Postpaid,MyPlan,478.0,462.0,3.35,35,No
GP00070,19,Male,Barisal,Postpaid,Nishchinto,515.0,245.0,1.57,52,No
GP00071,23,Male,Rangpur,Prepaid,Nishchinto,521.0,460.0,3.16,15,No
GP00072,59,Female,Chittagong,Prepaid,Bondhu,72.0,247.0,4.9,57,No
GP00073,21,Female,Dhaka,Prepaid,Priyo Unlimited,536.0,266.0,2.84,53,No
GP00074,46,Female,Khulna,Prepaid,Priyo Unlimited,255.0,310.0,0.92,26,No
GP00075,35,Female,Mymensingh,Prepaid,MyPlan,608.0,221.0,5.33,46,No
GP00076,43,Male,Dhaka,Prepaid,Djuice,394.0,273.0,5.78,7,No
GP00077,61,Female,Rangpur,Prepaid,Priyo Unlimited,338.0,80.0,3.74,18,No
GP00078,51,Female,Barisal,Prepaid,Ekota,301.0,161.0,1.04,25,No
GP00079,27,Female,Chittagong,Prepaid,Ekota,298.0,82.0,1.24,37,No
GP00080,53,Male,Chittagong,Postpaid,Bondhu,198.0,323.0,0.0,21,No
GP00081,31,Male,Khulna,Postpaid,Bondhu,140.0,114.0,1.82,52,Yes
GP00082,48,Female,Barisal,Prepaid,MyPlan,246.0,391.0,5.13,8,No
GP00083,65,Male,Mymensingh,Prepaid,Djuice,479.0,286.0,1.63,59,No
GP00084,32,Male,Rajshahi,Prepaid,Djuice,91.0,346.0,1.09,20,No
GP00085,25,Male,Rajshahi,Prepaid,Nishchinto,501.0,185.0,5.05,18,No
GP00086,31,Female,Khulna,Prepaid,Bondhu,322.0,138.0,5.3,53,No
GP00087,40,Female,Barisal,Prepaid,Priyo Unlimited,417.0,215.0,1.93,19,No
GP00088,57,Male,Khulna,Prepaid,Ekota,425.0,356.0,4.02,52,No
GP00089,38,Female,Barisal,Prepaid,Priyo Unlimited,439.0,462.0,1.26,3,No
GP00090,33,Female,Rangpur,Prepaid,Ekota,303.0,301.0,2.31,55,No
GP00091,62,Male,Rangpur,Prepaid,MyPlan,308.0,118.0,0.0,38,No
GP00092,35,Male,Dhaka,Prepaid,Ekota,434.0,153.0,3.72,18,No
GP00093,64,Female,Mymensingh,Postpaid,Priyo Unlimited,144.0,101.0,2.79,27,No
GP00094,41,Male,Khulna,Prepaid,Priyo Unlimited,121.0,237.0,1.66,15,Yes
GP00095,43,Female,Mymensingh,Prepaid,Djuice,230.0,222.0,2.82,46,No
GP00096,42,Female,Barisal,Prepaid,Djuice,343.0,236.0,2.57,56,No
GP00097,62,Male,Rajshahi,Postpaid,Bondhu,588.0,143.0,1.35,21,No
GP00098,58,Female,Mymensingh,Prepaid,Priyo Unlimited,307.0,133.0,3.8,22,No
GP00099,46,Female,Barisal,Prepaid,MyPlan,600.0,259.0,2.4,8,No
GP00100,32,Male,Rangpur,Postpaid,Ekota,377.0,298.0,2.73,11,No
GP00101,62,Male,Barisal,Prepaid,Bondhu,232.0,132.0,0.08,43,No
GP00102,18,Male,Khulna,Prepaid,Nishchinto,472.0,297.0,2.75,12,No
GP00103,42,Female,Dhaka,Prepaid,Nishchinto,264.0,345.0,2.64,48,No
GP00104,24,Male,Dhaka,Prepaid,Ekota,338.0,17.0,1.35,39,No
GP00105,26,Male,Dhaka,Prepaid,Ekota,100.0,408.0,4.06,27,Yes
GP00106,41,Male,Dhaka,Prepaid,Ekota,74.0,320.0,0.0,35,No
GP00107,18,Male,Rangpur,Prepaid,Djuice,383.0,346.0,2.04,2,No
GP00108,61,Female,Sylhet,Prepaid,Ekota,466.0,148.0,3.62,35,No
GP00109,25,Female,Mymensingh,Prepaid,Nishchinto,592.0,329.0,7.2,31,No
GP00110,41,Male,Khulna,Prepaid,Ekota,179.0,340.0,0.27,8,No
GP00111,28,Female,Chittagong,Prepaid,Priyo Unlimited,520.0,185.0,3.18,20,No
GP00112,68,Male,Khulna,Postpaid,MyPlan,497.0,328.0,4.1,8,No
GP00113,34,Male,Sylhet,Prepaid,Nishchinto,226.0,236.0,3.13,4,No
GP00114,25,Female,Dhaka,Prepaid,MyPlan,508.0,188.0,0.54,31,No
GP00115,52,Female,Sylhet,Prepaid,Nishchinto,442.0,230.0,2.03,55,No
GP00116,52,Male,Rajshahi,Prepaid,Bondhu,471.0,267.0,0.0,32,No
GP00117,50,Male,Rajshahi,Prepaid,Priyo Unlimited,625.0,220.0,3.01,13,No
GP00118,22,Female,Mymensingh,Prepaid,Nishchinto,465.0,171.0,0.17,22,No
GP00119,59,Male,Rangpur,Prepaid,Priyo Unlimited,50.0,289.0,3.91,26,Yes
GP00120,56,Female,Khulna,Prepaid,Nishchinto,348.0,306.0,1.69,17,No
GP00121,58,Male,Khulna,Postpaid,MyPlan,65.0,265.0,1.5,29,No
GP00122,45,Male,Chittagong,Prepaid,MyPlan,323.0,88.0,3.33,27,No
GP00123,24,Female,Rangpur,Prepaid,Nishchinto,314.0,192.0,3.52,56,No
GP00124,26,Female,Chittagong,Prepaid,Nishchinto,212.0,166.0,4.74,22,No
GP00125,25,Female,Rajshahi,Prepaid,Djuice,146.0,423.0,2.48,18,Yes
GP00126,29,Female,Dhaka,Prepaid,Priyo Unlimited,220.0,262.0,2.79,5,No
GP00127,51,Female,Sylhet,Prepaid,Priyo Unlimited,249.0,222.0,0.23,12,No
GP00128,50,Female,Chittagong,Prepaid,Priyo Unlimited,280.0,194.0,5.9,2,No
GP00129,65,Female,Barisal,Prepaid,Priyo Unlimited,316.0,238.0,1.13,42,No
GP00130,40,Male,Chittagong,Postpaid,Bondhu,388.0,325.0,4.45,7,No
GP00131,41,Male,Dhaka,Prepaid,Bondhu,253.0,67.0,4.46,47,No
GP00132,54,Male,Dhaka,Prepaid,Ekota,492.0,273.0,3.8,59,No
GP00133,52,Female,Khulna,Postpaid,Nishchinto,294.0,200.0,2.53,26,No
GP00134,61,Female,Sylhet,Prepaid,Nishchinto,439.0,293.0,2.27,54,No
GP00135,57,Female,Dhaka,Prepaid,Nishchinto,254.0,330.0,2.87,39,No
GP00136,39,Male,Rangpur,Prepaid,Nishchinto,712.0,180.0,0.0,15,No
GP00137,44,Female,Chittagong,Prepaid,Priyo Unlimited,370.0,113.0,2.95,48,No
GP00138,52,Female,Chittagong,Prepaid,Priyo Unlimited,545.0,220.0,5.97,54,No
GP00139,18,Male,Rajshahi,Prepaid,Bondhu,196.0,379.0,2.55,58,No
GP00140,52,Female,Dhaka,Prepaid,MyPlan,233.0,334.0,2.93,33,No
GP00141,54,Male,Barisal,Prepaid,Djuice,262.0,212.0,0.95,47,No
GP00142,64,Male,Khulna,Postpaid,Priyo Unlimited,671.0,187.0,3.37,3,No
GP00143,31,Female,Sylhet,Prepaid,Priyo Unlimited,268.0,194.0,1.44,42,No
GP00144,20,Female,Barisal,Prepaid,Priyo Unlimited,176.0,120.0,4.7,48,No
GP00145,18,Female,Khulna,Prepaid,MyPlan,495.0,328.0,5.28,2,No
GP00146,22,Male,Chittagong,Prepaid,MyPlan,309.0,347.0,5.72,17,No
GP00147,43,Male,Barisal,Postpaid,Bondhu,267.0,211.0,0.11,1,No
GP00148,31,Male,Khulna,Prepaid,Priyo Unlimited,208.0,200.0,4.45,36,No
GP00149,56,Female,Chittagong,Prepaid,Djuice,373.0,180.0,4.29,43,No
GP00150,44,Female,Chittagong,Prepaid,Nishchinto,459.0,205.0,2.17,17,No
GP00151,26,Female,Chittagong,Prepaid,Priyo Unlimited,418.0,176.0,5.39,2,No
GP00152,32,Female,Chittagong,Prepaid,Bondhu,228.0,234.0,3.83,33,No
GP00153,32,Male,Rangpur,Prepaid,Bondhu,152.0,329.0,5.75,29,No
GP00154,43,Male,Chittagong,Prepaid,Djuice,50.0,318.0,0.46,6,Yes
GP00155,59,Male,Rajshahi,Prepaid,Ekota,158.0,166.0,1.57,43,No
GP00156,30,Male,Barisal,Prepaid,Bondhu,244.0,265.0,3.19,36,No
GP00157,68,Female,Khulna,Prepaid,MyPlan,291.0,315.0,5.35,24,No
GP00158,49,Female,Rajshahi,Postpaid,MyPlan,259.0,156.0,3.91,11,No
GP00159,56,Female,Rangpur,Postpaid,Nishchinto,720.0,264.0,1.1,5,No
GP00160,66,Male,Mymensingh,Postpaid,Bondhu,374.0,371.0,6.55,30,No
GP00161,69,Male,Mymensingh,Postpaid,Nishchinto,114.0,226.0,2.41,10,Yes
GP00162,49,Female,Rajshahi,Prepaid,Bondhu,398.0,48.0,1.17,37,No
GP00163,21,Female,Dhaka,Prepaid,Djuice,359.0,0.0,1.45,27,Yes
GP00164,47,Male,Dhaka,Prepaid,Priyo Unlimited,143.0,281.0,0.34,27,No
GP00165,54,Female,Dhaka,Postpaid,Bondhu,343.0,261.0,0.0,24,Yes
GP00166,40,Male,Sylhet,Prepaid,Ekota,380.0,269.0,2.77,59,No
GP00167,56,Male,Dhaka,Postpaid,MyPlan,454.0,299.0,0.0,58,No
GP00168,62,Male,Khulna,Prepaid,Djuice,50.0,102.0,3.63,54,Yes
GP00169,32,Female,Rajshahi,Postpaid,Priyo Unlimited,397.0,169.0,4.97,54,No
GP00170,60,Female,Khulna,Prepaid,Priyo Unlimited,511.0,292.0,3.75,3,No
GP00171,46,Male,Barisal,Prepaid,MyPlan,583.0,324.0,3.09,38,No
GP00172,53,Female,Dhaka,Postpaid,Priyo Unlimited,116.0,224.0,0.0,26,No
GP00173,30,Male,Rangpur,Prepaid,Nishchinto,278.0,107.0,4.69,45,No
GP00174,49,Male,Sylhet,Postpaid,Djuice,293.0,284.0,6.89,48,No
GP00175,24,Male,Barisal,Prepaid,Ekota,401.0,255.0,5.82,39,No
GP00176,68,Male,Rangpur,Prepaid,MyPlan,275.0,144.0,0.34,18,No
GP00177,39,Female,Sylhet,Prepaid,Bondhu,193.0,52.0,2.84,3,No
GP00178,45,Male,Mymensingh,Prepaid,Bondhu,333.0,307.0,2.43,38,No
GP00179,19,Male,Barisal,Prepaid,Bondhu,249.0,188.0,2.2,42,No
GP00180,59,Female,Mymensingh,Prepaid,Djuice,384.0,269.0,3.05,48,No
GP00181,62,Male,Rajshahi,Prepaid,Ekota,179.0,265.0,7.33,25,No
GP00182,23,Male,Khulna,Prepaid,Priyo Unlimited,147.0,135.0,3.21,13,No
GP00183,45,Female,Chittagong,Prepaid,Ekota,497.0,292.0,2.11,25,No
GP00184,45,Female,Khulna,Prepaid,Ekota,641.0,164.0,3.6,24,No
GP00185,61,Female,Dhaka,Prepaid,MyPlan,573.0,100.0,0.37,56,Yes
GP00186,61,Male,Mymensingh,Prepaid,Djuice,289.0,88.0,1.57,41,No
GP00187,37,Female,Rangpur,Prepaid,Bondhu,458.0,250.0,4.97,59,No
GP00188,47,Female,Chittagong,Prepaid,MyPlan,197.0,409.0,3.38,16,No
GP00189,28,Male,Sylhet,Prepaid,Priyo Unlimited,376.0,254.0,7.2,43,No
GP00190,45,Male,Mymensingh,Prepaid,Ekota,212.0,428.0,3.54,41,No
GP00191,42,Male,Rajshahi,Postpaid,Bondhu,488.0,395.0,0.51,42,No
GP00192,56,Male,Rajshahi,Postpaid,Djuice,469.0,302.0,0.0,11,Yes
GP00193,50,Male,Mymensingh,Prepaid,Nishchinto,611.0,407.0,5.0,57,No
GP00194,18,Female,Mymensingh,Prepaid,Ekota,266.0,396.0,0.92,21,Yes
GP00195,44,Female,Mymensingh,Postpaid,Ekota,537.0,368.0,0.74,31,No
GP00196,69,Female,Sylhet,Prepaid,Ekota,376.0,62.0,1.97,54,No
GP00197,30,Male,Dhaka,Prepaid,Ekota,311.0,226.0,4.99,15,No
GP00198,58,Male,Sylhet,Prepaid,Bondhu,351.0,181.0,2.26,53,No
GP00199,20,Male,Barisal,Prepaid,Djuice,555.0,367.0,1.32,45,No
GP00200,56,Female,Rangpur,Postpaid,MyPlan,280.0,219.0,5.43,49,No
GP00201,23,Female,Mymensingh,Prepaid,Bondhu,288.0,425.0,5.08,36,No
GP00202,25,Male,Rangpur,Prepaid,Djuice,50.0,260.0,6.33,43,Yes
GP00203,44,Female,Dhaka,Prepaid,MyPlan,278.0,247.0,5.7,1,No
GP00204,26,Male,Chittagong,Postpaid,Ekota,340.0,212.0,5.12,28,No
GP00205,54,Female,Sylhet,Postpaid,Djuice,186.0,232.0,1.5,33,No
GP00206,50,Female,Dhaka,Prepaid,Ekota,149.0,277.0,4.32,3,No
GP00207,68,Female,Rangpur,Prepaid,Djuice,50.0,243.0,5.43,55,Yes
GP00208,59,Male,Chittagong,Prepaid,Priyo Unlimited,212.0,204.0,6.71,15,No
GP00209,61,Female,Sylhet,Postpaid,Nishchinto,513.0,209.0,3.34,33,No
GP00210,41,Female,Rajshahi,Postpaid,Ekota,78.0,432.0,2.02,32,No
GP00211,32,Male,Sylhet,Prepaid,Ekota,418.0,450.0,1.23,23,No
GP00212,49,Female,Khulna,Prepaid,Ekota,432.0,203.0,4.96,58,No
GP00213,49,Male,Sylhet,Prepaid,Priyo Unlimited,668.0,335.0,1.67,26,No
GP00214,41,Male,Khulna,Prepaid,Bondhu,456.0,167.0,3.21,48,No
GP00215,58,Male,Chittagong,Prepaid,MyPlan,443.0,217.0,1.24,17,No
GP00216,69,Male,Sylhet,Prepaid,Ekota,355.0,141.0,2.68,9,No
GP00217,66,Male,Chittagong,Prepaid,Ekota,300.0,352.0,3.88,5,No
GP00218,66,Female,Chittagong,Prepaid,Bondhu,428.0,298.0,3.54,29,No
GP00219,69,Male,Rangpur,Prepaid,Bondhu,487.0,318.0,4.48,6,No
GP00220,29,Male,Dhaka,Prepaid,Nishchinto,326.0,339.0,0.25,47,No
GP00221,56,Male,Chittagong,Prepaid,Djuice,494.0,163.0,2.77,41,No
GP00222,19,Male,Chittagong,Prepaid,Ekota,732.0,218.0,2.06,59,No
GP00223,20,Female,Rangpur,Prepaid,Djuice,311.0,295.0,1.04,35,No
GP00224,66,Male,Rangpur,Prepaid,Bondhu,315.0,215.0,1.5,51,No
GP00225,54,Female,Sylhet,Prepaid,Bondhu,286.0,257.0,1.21,21,No
GP00226,66,Male,Rangpur,Postpaid,Nishchinto,320.0,170.0,3.7,45,No
GP00227,34,Female,Sylhet,Prepaid,MyPlan,483.0,383.0,3.8,45,No
GP00228,66,Male,Rajshahi,Postpaid,Priyo Unlimited,313.0,344.0,4.75,23,No
GP00229,19,Male,Rangpur,Prepaid,Priyo Unlimited,328.0,374.0,3.66,35,No
GP00230,19,Female,Dhaka,Prepaid,Priyo Unlimited,263.0,316.0,3.32,52,No
GP00231,45,Male,Chittagong,Prepaid,Bondhu,373.0,141.0,3.16,46,No
GP00232,40,Female,Dhaka,Prepaid,Ekota,225.0,202.0,4.35,2,No
GP00233,54,Male,Khulna,Prepaid,Nishchinto,116.0,180.0,0.0,57,Yes
GP00234,49,Female,Mymensingh,Prepaid,MyPlan,367.0,224.0,2.88,42,No
GP00235,50,Male,Rangpur,Postpaid,Priyo Unlimited,597.0,356.0,3.63,9,No
GP00236,18,Male,Chittagong,Prepaid,Nishchinto,257.0,103.0,6.58,13,No
GP00237,36,Female,Dhaka,Postpaid,Bondhu,144.0,192.0,0.78,43,Yes
GP00238,19,Male,Rangpur,Postpaid,Priyo Unlimited,587.0,211.0,0.71,34,No
GP00239,61,Male,Rangpur,Prepaid,MyPlan,307.0,119.0,0.0,16,No
GP00240,43,Male,Mymensingh,Prepaid,Djuice,442.0,270.0,0.22,5,Yes
GP00241,49,Male,Rajshahi,Prepaid,MyPlan,191.0,216.0,2.7,1,No
GP00242,23,Male,Rajshahi,Postpaid,Ekota,301.0,361.0,1.55,40,No
GP00243,49,Male,Chittagong,Prepaid,Priyo Unlimited,510.0,222.0,1.51,22,No
GP00244,21,Female,Khulna,Postpaid,Priyo Unlimited,320.0,296.0,3.05,48,No
GP00245,28,Female,Rajshahi,Prepaid,Djuice,321.0,261.0,4.16,46,No
GP00246,34,Female,Mymensingh,Postpaid,Djuice,77.0,2.0,3.03,58,Yes
GP00247,55,Male,Rajshahi,Prepaid,Priyo Unlimited,418.0,106.0,3.05,26,No
GP00248,41,Female,Khulna,Prepaid,Ekota,182.0,288.0,3.81,34,No
GP00249,22,Male,Dhaka,Postpaid,Djuice,468.0,284.0,0.0,50,No
GP00250,69,Male,Rajshahi,Postpaid,Bondhu,330.0,243.0,3.26,58,No
GP00251,51,Male,Mymensingh,Prepaid,Priyo Unlimited,344.0,383.0,2.85,21,No
GP00252,23,Male,Sylhet,Prepaid,MyPlan,416.0,301.0,2.99,7,No
GP00253,39,Female,Mymensingh,Prepaid,MyPlan,356.0,407.0,1.83,25,No
GP00254,28,Male,Barisal,Postpaid,Ekota,558.0,4.0,2.59,57,No
GP00255,65,Female,Barisal,Postpaid,Bondhu,534.0,423.0,3.81,12,No
GP00256,33,Male,Rajshahi,Postpaid,Djuice,117.0,189.0,6.22,31,Yes
GP00257,50,Female,Dhaka,Prepaid,Priyo Unlimited,274.0,252.0,0.0,47,No
GP00258,26,Female,Rangpur,Prepaid,MyPlan,425.0,369.0,4.14,27,No
GP00259,23,Female,Dhaka,Prepaid,MyPlan,159.0,39.0,5.44,22,No
GP00260,33,Female,Mymensingh,Postpaid,MyPlan,65.0,225.0,0.46,34,Yes
GP00261,46,Female,Chittagong,Prepaid,MyPlan,186.0,351.0,2.64,54,No
GP00262,20,Female,Sylhet,Postpaid,Nishchinto,283.0,188.0,3.55,17,No
GP00263,37,Male,Dhaka,Prepaid,Ekota,50.0,341.0,7.02,59,No
GP00264,53,Female,Khulna,Prepaid,Djuice,133.0,318.0,7.35,11,No
GP00265,36,Male,Mymensingh,Prepaid,Priyo Unlimited,50.0,267.0,0.46,29,Yes
GP00266,43,Female,Sylhet,Prepaid,Priyo Unlimited,472.0,310.0,2.4,34,No
GP00267,20,Male,Barisal,Prepaid,Priyo Unlimited,440.0,379.0,3.4,51,No
GP00268,36,Female,Mymensingh,Prepaid,Djuice,342.0,310.0,4.11,37,No
GP00269,37,Female,Sylhet,Prepaid,Ekota,315.0,343.0,3.4,58,No
GP00270,49,Male,Khulna,Postpaid,Bondhu,382.0,162.0,1.1,49,No
GP00271,24,Female,Rajshahi,Prepaid,Ekota,150.0,308.0,1.02,48,No
GP00272,69,Female,Khulna,Prepaid,MyPlan,488.0,299.0,0.0,26,No
GP00273,58,Female,Khulna,Prepaid,MyPlan,314.0,362.0,0.0,45,No
GP00274,50,Male,Rajshahi,Prepaid,Ekota,438.0,134.0,0.0,45,No
GP00275,57,Female,Rajshahi,Postpaid,Ekota,431.0,357.0,5.32,45,No
GP00276,56,Male,Rajshahi,Prepaid,Djuice,380.0,162.0,4.42,32,No
GP00277,35,Female,Rajshahi,Postpaid,Djuice,347.0,484.0,4.11,37,No
GP00278,57,Female,Rajshahi,Prepaid,Nishchinto,336.0,161.0,2.55,5,No
GP00279,18,Male,Khulna,Prepaid,Priyo Unlimited,291.0,133.0,2.92,20,No
GP00280,28,Female,Chittagong,Prepaid,Nishchinto,372.0,221.0,2.46,51,No
GP00281,45,Female,Chittagong,Prepaid,Priyo Unlimited,331.0,355.0,0.0,7,No
GP00282,42,Male,Mymensingh,Prepaid,MyPlan,227.0,286.0,4.3,43,No
GP00283,67,Female,Dhaka,Prepaid,Nishchinto,391.0,418.0,4.71,23,No
GP00284,40,Male,Chittagong,Prepaid,Nishchinto,342.0,220.0,0.7,1,Yes
GP00285,48,Male,Barisal,Prepaid,Bondhu,481.0,201.0,0.7,39,No
GP00286,47,Male,Chittagong,Prepaid,Ekota,50.0,177.0,3.7,3,No
GP00287,59,Female,Khulna,Prepaid,Djuice,305.0,197.0,3.69,45,No
GP00288,52,Male,Rajshahi,Prepaid,Nishchinto,191.0,110.0,4.47,3,No
GP00289,24,Male,Mymensingh,Prepaid,Djuice,222.0,185.0,5.83,6,No
GP00290,33,Female,Rajshahi,Prepaid,Priyo Unlimited,384.0,129.0,0.88,31,No
GP00291,43,Male,Rangpur,Prepaid,Nishchinto,85.0,322.0,2.84,54,Yes
GP00292,65,Female,Rangpur,Prepaid,Priyo Unlimited,320.0,398.0,1.0,27,No
GP00293,69,Female,Rangpur,Postpaid,Nishchinto,305.0,272.0,1.14,29,No
GP00294,66,Female,Khulna,Prepaid,MyPlan,143.0,183.0,2.14,15,Yes
GP00295,19,Female,Barisal,Prepaid,Bondhu,324.0,324.0,5.88,36,No
GP00296,18,Male,Chittagong,Postpaid,Priyo Unlimited,186.0,246.0,5.21,5,Yes
GP00297,65,Male,Khulna,Prepaid,Ekota,630.0,351.0,2.85,3,No
GP00298,29,Male,Dhaka,Prepaid,Ekota,480.0,155.0,0.0,51,No
GP00299,22,Male,Mymensingh,Prepaid,MyPlan,310.0,162.0,3.79,25,No
GP00300,54,Male,Rajshahi,Prepaid,MyPlan,235.0,323.0,3.74,32,No
GP00301,49,Female,Rangpur,Prepaid,Ekota,376.0,248.0,1.13,21,No
GP00302,26,Male,Sylhet,Postpaid,Priyo Unlimited,415.0,343.0,4.66,48,No
GP00303,58,Male,Dhaka,Prepaid,Ekota,338.0,164.0,1.09,17,No
GP00304,52,Male,Rangpur,Postpaid,Bondhu,148.0,293.0,4.66,9,No
GP00305,36,Female,Barisal,Prepaid,Nishchinto,269.0,305.0,3.48,26,No
GP00306,65,Female,Dhaka,Prepaid,Bondhu,312.0,96.0,0.08,22,No
GP00307,33,Male,Khulna,Prepaid,Ekota,344.0,250.0,2.28,41,No
GP00308,20,Female,Chittagong,Postpaid,Nishchinto,347.0,48.0,3.29,46,Yes
GP00309,37,Male,Rajshahi,Postpaid,Ekota,410.0,397.0,3.6,59,No
GP00310,41,Male,Mymensingh,Prepaid,Bondhu,501.0,118.0,5.07,23,No
